product_id,produto,variacao_shopee,sku_pai,sku_variacao
23094334309,Boneco figure action Coyote,Coyote 1,BON-COYOTE,BON-COYOTE-PLA-V1-U
23094334309,Boneco figure action Coyote,Coyote 2,BON-COYOTE,BON-COYOTE-PLA-V2-U
23094334309,Boneco figure action Coyote,Coyote 3,BON-COYOTE,BON-COYOTE-PLA-V3-U
23094334309,Boneco figure action Coyote,Coyote 4,BON-COYOTE,BON-COYOTE-PLA-V4-U
58201048070,Kit 4 Miniaturas de Natal,-,DEC-KITNATAL4,DEC-KITNATAL4-PLA-STD-U
58251218579,Enfeite Natal pet personalizado,"Gatinho,Vermelho",DEC-NATALPET,DEC-NATALPET-PLA-VRM-GAT
58251218579,Enfeite Natal pet personalizado,"Gatinho,Rosa bebe",DEC-NATALPET,DEC-NATALPET-PLA-RSA-GAT
58251218579,Enfeite Natal pet personalizado,"Gatinho,Verde",DEC-NATALPET,DEC-NATALPET-PLA-VRD-GAT
58251218579,Enfeite Natal pet personalizado,"Gatinho,Azul Claro",DEC-NATALPET,DEC-NATALPET-PLA-AZC-GAT
58251218579,Enfeite Natal pet personalizado,"Gatinho,Preto",DEC-NATALPET,DEC-NATALPET-PLA-PRT-GAT
58251218579,Enfeite Natal pet personalizado,"Cachorrinho,Vermelho",DEC-NATALPET,DEC-NATALPET-PLA-VRM-CAO
58251218579,Enfeite Natal pet personalizado,"Cachorrinho,Rosa bebe",DEC-NATALPET,DEC-NATALPET-PLA-RSA-CAO
58251218579,Enfeite Natal pet personalizado,"Cachorrinho,Verde",DEC-NATALPET,DEC-NATALPET-PLA-VRD-CAO
58251218579,Enfeite Natal pet personalizado,"Cachorrinho,Azul Claro",DEC-NATALPET,DEC-NATALPET-PLA-AZC-CAO
58251218579,Enfeite Natal pet personalizado,"Cachorrinho,Preto",DEC-NATALPET,DEC-NATALPET-PLA-PRT-CAO
23298020920,Kit 14 flocos de neve Branco,-,DEC-FLOCOS14,DEC-FLOCOS14-PLA-BRC-U
22993629644,Chaveiro Royal Enfield,1,CHV-ROYALENF,CHV-ROYALENF-PLA-V1-U
22993629644,Chaveiro Royal Enfield,2,CHV-ROYALENF,CHV-ROYALENF-PLA-V2-U
18799691671,Boneco Articulado jogo Repo,Azul claro,BON-REPO,BON-REPO-PLA-AZC-U
18799691671,Boneco Articulado jogo Repo,Preto,BON-REPO,BON-REPO-PLA-PRT-U
18799691671,Boneco Articulado jogo Repo,Amarelo,BON-REPO,BON-REPO-PLA-AMR-U
18799691671,Boneco Articulado jogo Repo,Verde tiffany,BON-REPO,BON-REPO-PLA-TIF-U
18799691671,Boneco Articulado jogo Repo,Misteriosa ?,BON-REPO,BON-REPO-PLA-MIS-U
18799691671,Boneco Articulado jogo Repo,Verde,BON-REPO,BON-REPO-PLA-VRD-U
18799691671,Boneco Articulado jogo Repo,Rosa bebe,BON-REPO,BON-REPO-PLA-RSA-U
18799691671,Boneco Articulado jogo Repo,Vermelho escarlete,BON-REPO,BON-REPO-PLA-ESC-U
18799691671,Boneco Articulado jogo Repo,Laranja,BON-REPO,BON-REPO-PLA-LRJ-U
18799691671,Boneco Articulado jogo Repo,Branco,BON-REPO,BON-REPO-PLA-BRC-U
18799691671,Boneco Articulado jogo Repo,Roxo,BON-REPO,BON-REPO-PLA-ROX-U
18799691671,Boneco Articulado jogo Repo,Cinza,BON-REPO,BON-REPO-PLA-CNZ-U
18799691671,Boneco Articulado jogo Repo,Vermelho,BON-REPO,BON-REPO-PLA-VRM-U
18799691671,Boneco Articulado jogo Repo,Verde escuro,BON-REPO,BON-REPO-PLA-VDE-U
19198010925,Kit Cortadores Squid Games 4 Desenhos,-,COR-SQUIDGAME,COR-SQUIDGAME-PLA-STD-U
19099561380,Kit 4un Reparo de Tomada 4x2,1,ELE-TOMADA,ELE-TOMADA-PLA-STD-04
19099561380,Kit 4un Reparo de Tomada 4x2,2,ELE-TOMADA,ELE-TOMADA-PLA-STD-04
19099561380,Kit 4un Reparo de Tomada 4x2,3,ELE-TOMADA,ELE-TOMADA-PLA-STD-04
19099561380,Kit 4un Reparo de Tomada 4x2,4,ELE-TOMADA,ELE-TOMADA-PLA-STD-04
18998016306,Vaso Pac Man,Azul Transformado,VAS-PACMAN,VAS-PACMAN-PLA-AZT-G
18998016306,Vaso Pac Man,Amarelo Pac Man,VAS-PACMAN,VAS-PACMAN-PLA-AMR-G
18998016306,Vaso Pac Man,Vermelho Neon,VAS-PACMAN,VAS-PACMAN-PLA-VNE-G
18998016306,Vaso Pac Man,Azul,VAS-PACMAN,VAS-PACMAN-PLA-AZL-G
18998016306,Vaso Pac Man,Vermelho,VAS-PACMAN,VAS-PACMAN-PLA-VRM-G
18998016306,Vaso Pac Man,Rosa Bebe,VAS-PACMAN,VAS-PACMAN-PLA-RSA-G
18998016306,Vaso Pac Man,Laranja,VAS-PACMAN,VAS-PACMAN-PLA-LRJ-G
19699666863,Marcadores cortador pascoa playdoh,1,COR-PASCPLAY,COR-PASCPLAY-PLA-V1-U
19699666863,Marcadores cortador pascoa playdoh,2,COR-PASCPLAY,COR-PASCPLAY-PLA-V2-U
19699666863,Marcadores cortador pascoa playdoh,3,COR-PASCPLAY,COR-PASCPLAY-PLA-V3-U
19898296419,Cranio de T-Rex decorativo,Pequeno,DEC-TREX,DEC-TREX-PLA-STD-P
19898296419,Cranio de T-Rex decorativo,Medio,DEC-TREX,DEC-TREX-PLA-STD-M
19898296419,Cranio de T-Rex decorativo,Grande,DEC-TREX,DEC-TREX-PLA-STD-G
21999599002,Cortador de Biscoito Capivara,-,COR-CAPIVARA,COR-CAPIVARA-PLA-STD-U
20899566164,Vaso Design Geometrico Moderno,-,VAS-GEOMETRICO,VAS-GEOMETRICO-PLA-STD-U
20097980582,Suporte de parede para capacete,Parafuso + Buchas,SUP-CAPACETE,SUP-CAPACETE-PLA-CPB-U
20097980582,Suporte de parede para capacete,Sem buchas,SUP-CAPACETE,SUP-CAPACETE-PLA-SBU-U
20097980582,Suporte de parede para capacete,Somente parafusos,SUP-CAPACETE,SUP-CAPACETE-PLA-SPA-U
21498035494,Boneco figure Looney Tunes,Frajola,BON-LOONEY,BON-LOONEY-PLA-FRA-G
21498035494,Boneco figure Looney Tunes,Pernalonga,BON-LOONEY,BON-LOONEY-PLA-PER-G
21498035494,Boneco figure Looney Tunes,Patolino,BON-LOONEY,BON-LOONEY-PLA-PAT-G
21498035494,Boneco figure Looney Tunes,Kit com os 3 personagens,BON-LOONEY,BON-LOONEY-PLA-KIT-G
21197992713,Vaso Design Zigzag Moderno,-,VAS-ZIGZAG,VAS-ZIGZAG-PLA-STD-U
22098135171,Organizador de Cabos passa fio,"Preto,2",ORG-PASSAFIO,ORG-PASSAFIO-PLA-PRT-02
22098135171,Organizador de Cabos passa fio,"Preto,4",ORG-PASSAFIO,ORG-PASSAFIO-PLA-PRT-04
22098135171,Organizador de Cabos passa fio,"Preto,8",ORG-PASSAFIO,ORG-PASSAFIO-PLA-PRT-08
22098135171,Organizador de Cabos passa fio,"Preto,12",ORG-PASSAFIO,ORG-PASSAFIO-PLA-PRT-12
22098135171,Organizador de Cabos passa fio,"Preto,20",ORG-PASSAFIO,ORG-PASSAFIO-PLA-PRT-20
22098135171,Organizador de Cabos passa fio,"Branco,2",ORG-PASSAFIO,ORG-PASSAFIO-PLA-BRC-02
22098135171,Organizador de Cabos passa fio,"Branco,4",ORG-PASSAFIO,ORG-PASSAFIO-PLA-BRC-04
22098135171,Organizador de Cabos passa fio,"Branco,8",ORG-PASSAFIO,ORG-PASSAFIO-PLA-BRC-08
22098135171,Organizador de Cabos passa fio,"Branco,12",ORG-PASSAFIO,ORG-PASSAFIO-PLA-BRC-12
22098135171,Organizador de Cabos passa fio,"Branco,20",ORG-PASSAFIO,ORG-PASSAFIO-PLA-BRC-20
21798025672,Cortador de Biscoito Unicornio,-,COR-UNICORNIO,COR-UNICORNIO-PLA-STD-U
22098199108,Kit 3 Cortadores Mandala,-,COR-MANDALA,COR-MANDALA-PLA-STD-U
22193543514,Kit Cortadores Osso 3 Tamanhos Pet,-,COR-OSSO,COR-OSSO-PLA-STD-U
